Date,Day,Month,Year,State,District,Pincode,Age 5 To 17 ,Age Above 17
1/3/2025,Friday,January,2025,Telangana,Mulugu,506172,24,281
1/3/2025,Friday,January,2025,Telangana,Karimnagar,505452,39,138
1/3/2025,Friday,January,2025,Telangana,Nalgonda,508105,29,78
1/3/2025,Friday,January,2025,Telangana,Narayanpet,509130,22,120
1/3/2025,Friday,January,2025,Telangana,Sangareddy,502319,132,673
1/3/2025,Friday,January,2025,Telangana,Khammam,507203,25,351
1/3/2025,Friday,January,2025,Telangana,Karimnagar,505188,18,122
1/3/2025,Friday,January,2025,Telangana,K.v. Rangareddy,501144,18,140
1/3/2025,Friday,January,2025,Telangana,Warangal,506163,28,51
1/3/2025,Friday,January,2025,Telangana,Medchal-malkajgiri,500067,37,285
1/3/2025,Friday,January,2025,Telangana,Medchal-malkajgiri,500056,99,485
1/3/2025,Friday,January,2025,Telangana,Sangareddy,502269,16,38
1/3/2025,Friday,January,2025,Telangana,Medak,502336,69,181
1/3/2025,Friday,January,2025,Telangana,Nagarkurnool,509375,38,152
1/3/2025,Friday,January,2025,Telangana,Peddapalli,505525,13,105
1/3/2025,Friday,January,2025,Telangana,Adilabad,504219,13,59
1/3/2025,Friday,January,2025,Telangana,Warangal,506345,18,30
1/3/2025,Friday,January,2025,Telangana,K.v. Rangareddy,509216,136,788
1/3/2025,Friday,January,2025,Telangana,Warangal Rural,506331,21,265
1/3/2025,Friday,January,2025,Telangana,Hyderabad,500029,107,437
1/3/2025,Friday,January,2025,Telangana,Hyderabad,500015,84,527
1/3/2025,Friday,January,2025,Telangana,Vikarabad,509340,12,58
1/3/2025,Friday,January,2025,Telangana,Hanumakonda,506342,14,336
1/3/2025,Friday,January,2025,Telangana,K.v. Rangareddy,500048,182,914
1/3/2025,Friday,January,2025,Telangana,Jogulamba Gadwal,509132,106,254
1/3/2025,Friday,January,2025,Telangana,Khammam,507117,14,48
1/3/2025,Friday,January,2025,Telangana,Hyderabad,500008,273,1612
1/3/2025,Friday,January,2025,Telangana,Mulugu,506344,43,404
1/3/2025,Friday,January,2025,Telangana,Nalgonda,508201,38,98
1/3/2025,Friday,January,2025,Telangana,Medchal-malkajgiri,500085,67,580
1/3/2025,Friday,January,2025,Telangana,Hyderabad,500054,170,595
